団体コード,地域,都道府県名,市区町村名,都道府県名市区町村名,基本構想作成,URL,Google検索
282065,近畿,兵庫県,芦屋市,兵庫県芦屋市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県芦屋市
282073,近畿,兵庫県,伊丹市,兵庫県伊丹市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県伊丹市
282081,近畿,兵庫県,相生市,兵庫県相生市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県相生市
282090,近畿,兵庫県,豊岡市,兵庫県豊岡市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県豊岡市
282103,近畿,兵庫県,加古川市,兵庫県加古川市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県加古川市
282120,近畿,兵庫県,赤穂市,兵庫県赤穂市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県赤穂市
282138,近畿,兵庫県,西脇市,兵庫県西脇市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県西脇市
282146,近畿,兵庫県,宝塚市,兵庫県宝塚市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県宝塚市
282154,近畿,兵庫県,三木市,兵庫県三木市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県三木市
282162,近畿,兵庫県,高砂市,兵庫県高砂市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県高砂市
282171,近畿,兵庫県,川西市,兵庫県川西市,TRUE,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県川西市
282189,近畿,兵庫県,小野市,兵庫県小野市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県小野市
282197,近畿,兵庫県,三田市,兵庫県三田市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県三田市
282201,近畿,兵庫県,加西市,兵庫県加西市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県加西市
282219,近畿,兵庫県,丹波篠山市,兵庫県丹波篠山市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県丹波篠山市
282227,近畿,兵庫県,養父市,兵庫県養父市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県養父市
282235,近畿,兵庫県,丹波市,兵庫県丹波市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県丹波市
282243,近畿,兵庫県,南あわじ市,兵庫県南あわじ市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県南あわじ市
282251,近畿,兵庫県,朝来市,兵庫県朝来市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県朝来市
282260,近畿,兵庫県,淡路市,兵庫県淡路市,,,https://www.google.com/search?q=バリアフリー基本構想 兵庫県淡路市
